RackID,Address,Ward,Community Area,Community Name,TotInstall,Latitude,Longitude,Historical,F12,F13,LOCATION,Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards,:@computed_region_awaf_s7ux
2183,1655 S Blue Island Ave,25,31,Lower West Side,1,41.858639,-87.66027,1,41.858639,-87.66027,"(41.858639, -87.66027)",43,33,14920,365,26,8
5240,2020 W Schiller St,1,24,West Town,3,41.907256,-87.678023,1,41.907256,-87.678023,"(41.907256, -87.678023)",4,25,21560,481,41,24
5034,2200 N Lincoln Ave,43,7,Lincoln Park,1,41.921936,-87.644131,1,41.921936,-87.644131,"(41.921936, -87.644131)",16,68,21190,798,34,51
5142,1330 W Chicago Ave,27,24,West Town,3,41.89629,-87.660619,1,41.89629,-87.660619,"(41.89629, -87.660619)",49,25,22620,109,46,41
7350,11142 S Halsted St,34,75,Morgan Park,1,41.691544,-87.642598,0,41.691544,-87.642598,"(41.691544, -87.642598)",13,74,21861,663,22,45
145,1015 W Polk St,25,28,Near West Side,2,41.871736,-87.652019,0,41.871736,-87.652019,"(41.871736, -87.652019)",44,29,14917,87,48,8
769,1000 S Wabash Ave,2,32,Loop,2,41.869902,-87.626045,0,41.869902,-87.626045,"(41.869902, -87.626045)",35,38,14913,368,10,48
3475,1581 N Milwaukee Ave,1,24,West Town,3,41.910144,-87.676773,1,41.910144,-87.676773,"(41.910144, -87.676773)",4,25,21560,482,41,24
947,1151 S State St,2,32,Loop,1,41.868317,-87.627198,0,41.868317,-87.627198,"(41.868317, -87.627198)",35,38,14913,368,10,48
2145,1100 W Belmont Ave,44,6,Lake View,2,41.939921,-87.656606,1,41.939921,-87.656606,"(41.939921, -87.656606)",22,57,4449,710,25,38
212,11020 S Kedzie Ave,19,74,Mount Greenwood,2,41.692883,-87.701048,0,41.692883,-87.701048,"(41.692883, -87.701048)",33,73,4447,369,42,33
1220,1201 N Milwaukee Ave,1,24,West Town,1,41.903459,-87.666514,0,41.903459,-87.666514,"(41.903459, -87.666514)",49,25,22620,483,11,24
5249,1300 E 47th St,4,39,Kenwood,2,41.808808,-87.592871,1,41.808808,-87.592871,"(41.808808, -87.592871)",10,5,21192,356,10,1
7137,225 W Ohio St,42,8,Near North Side,1,41.892249,-87.634539,0,41.892249,-87.634539,"(41.892249, -87.634539)",55,37,4446,652,36,22
6295,10656 S Michigan Ave,9,49,Roseland,1,41.700888,-87.621037,1,41.700888,-87.621037,"(41.700888, -87.621037)",19,45,21861,236,43,30
4481,1401 W Hollywood Ave,48,77,Edgewater,1,41.985351,-87.665398,1,41.985351,-87.665398,"(41.985351, -87.665398)",14,76,4451,539,16,40
2112,191 E Balbo Dr,2,32,Loop,1,41.873066,-87.62265,1,41.873066,-87.62265,"(41.873066, -87.62265)",35,38,14913,368,10,48
435,2001 N Point St,1,22,Logan Square,1,41.917712,-87.694038,0,41.917712,-87.694038,"(41.917712, -87.694038)",1,23,22535,294,41,24
5253,1600 E 56th St,5,41,Hyde Park,4,41.793477,-87.585203,1,41.793477,-87.585203,"(41.793477, -87.585203)",60,8,22260,502,33,32
6705,1923 W Irving Park Rd,47,5,North Center,1,41.954048,-87.676905,0,41.954048,-87.676905,"(41.954048, -87.676905)",53,46,21186,644,18,13
