month,day,year,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,dewPoint,humidity,moonPhase,precipIntensity,precipIntensityMax,precipProbability,pressure,sunriseTime,sunsetTime,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,uvIndex,uvIndexTime,visibility,windBearing,windGust,windGustTime,windSpeed,precipIntensityMaxTime,precipAccumulation,daylight_duration,icon_clear-day,icon_cloudy,icon_fog,icon_partly-cloudy-day,icon_partly-cloudy-night,icon_rain,precipType_None,precipType_rain,precipType_snow
1.0,17.0,2017.0,34.96,12.0,29.37,8.0,40.96,2.0,30.3,23.0,1.0,36.42,0.94,0.68,0.0135,0.1644,1.0,1011.72,7.25,16.8,38.54,13.0,34.09,8.0,2.0,12.0,5.18,260.0,10.9,22.0,3.89,3.0,0.0,9.55,0,1,0,0,0,0,0,1,0
1.0,18.0,2017.0,33.16,16.0,31.06,1.0,34.56,22.0,29.32,12.0,0.96,32.81,0.92,0.71,0.0,0.0,0.0,1019.1,7.25,16.816666666666666,36.91,15.0,33.41,0.0,2.0,12.0,6.07,240.0,14.29,13.0,4.38,0.0,0.0,9.566666666666666,0,0,0,1,0,0,1,0,0
1.0,19.0,2017.0,41.62,14.0,34.35,1.0,41.62,14.0,31.06,1.0,0.88,35.01,0.92,0.74,0.0147,0.1079,1.0,1014.23,7.233333333333333,16.833333333333332,41.62,14.0,37.71,6.0,2.0,12.0,3.42,139.0,6.0,2.0,1.8,23.0,0.0,9.599999999999998,0,0,0,0,0,1,0,1,0
1.0,20.0,2017.0,41.97,14.0,42.29,20.0,44.65,23.0,34.35,1.0,1.0,39.02,0.96,0.77,0.0107,0.066,1.0,1004.27,7.216666666666667,16.866666666666667,41.97,14.0,42.29,20.0,2.0,12.0,2.55,74.0,7.74,2.0,1.6,0.0,0.0,9.65,0,0,0,0,0,1,0,1,0
1.0,21.0,2017.0,59.61,14.0,39.08,5.0,59.61,14.0,42.18,23.0,0.57,45.78,0.85,0.8,0.0002,0.0033,0.52,1000.39,7.216666666666667,16.883333333333333,59.61,14.0,39.08,5.0,2.0,11.0,6.34,191.0,14.82,14.0,2.92,0.0,0.0,9.666666666666666,0,0,1,0,0,0,0,1,0
1.0,22.0,2017.0,43.27,13.0,33.54,3.0,43.27,13.0,37.13,22.0,0.99,39.0,0.93,0.83,0.0,0.0,0.0,1003.43,7.2,16.9,43.27,13.0,37.66,3.0,2.0,11.0,5.11,7.0,7.5,16.0,2.05,0.0,0.0,9.7,0,1,0,0,0,0,1,0,0
1.0,23.0,2017.0,40.48,18.0,33.65,8.0,40.48,18.0,33.54,3.0,0.99,36.01,0.89,0.86,0.0,0.0,0.0,1007.89,7.183333333333334,16.916666666666668,41.08,16.0,36.33,8.0,2.0,11.0,8.87,341.0,10.41,9.0,4.0,0.0,0.0,9.733333333333334,0,1,0,0,0,0,1,0,0
1.0,24.0,2017.0,36.89,16.0,30.82,2.0,38.74,0.0,31.09,20.0,1.0,33.19,0.87,0.89,0.0,0.0,0.0,1010.94,7.183333333333334,16.95,36.89,16.0,35.85,20.0,2.0,11.0,9.36,343.0,9.15,20.0,1.0,0.0,0.0,9.766666666666666,0,1,0,0,0,0,1,0,0
1.0,25.0,2017.0,41.17,10.0,24.66,8.0,41.17,10.0,30.01,22.0,0.99,35.22,0.9,0.92,0.0024,0.0254,0.94,1000.66,7.166666666666667,16.966666666666665,42.58,11.0,31.48,8.0,2.0,11.0,6.09,212.0,16.46,17.0,2.48,4.0,0.0,9.799999999999997,0,1,0,0,0,0,0,1,0
1.0,26.0,2017.0,28.05,16.0,20.17,8.0,30.13,0.0,24.66,8.0,1.0,28.53,0.85,0.96,0.0003,0.0028,0.58,1009.4,7.15,16.983333333333334,33.28,15.0,27.62,8.0,2.0,11.0,8.93,284.0,13.88,6.0,6.1,1.0,0.022,9.833333333333334,0,1,0,0,0,0,0,0,1
