month,day,year,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,dewPoint,humidity,moonPhase,precipIntensity,precipIntensityMax,precipProbability,pressure,sunriseTime,sunsetTime,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,uvIndex,uvIndexTime,visibility,windBearing,windGust,windGustTime,windSpeed,precipAccumulation,precipIntensityMaxTime,daylight_duration,icon_clear-day,icon_cloudy,icon_partly-cloudy-day,icon_rain,icon_sleet,icon_snow,precipType_None,precipType_rain,precipType_sleet,precipType_snow
1.0,1.0,2013.0,19.38,11.0,7.04,21.0,19.38,11.0,7.04,21.0,0.33,7.06,0.61,0.65,0.0,0.0,0.0,1022.31,5.316666666666666,14.516666666666667,25.03,12.0,11.26,0.0,2.0,10.0,9.997,321.0,11.19,8.0,4.38,0.0,0.0,9.200000000000001,0,0,1,0,0,0,1,0,0,0
1.0,2.0,2013.0,22.44,13.0,13.76,19.0,22.44,13.0,9.48,7.0,0.24,8.56,0.63,0.68,0.0,0.0,0.0,1021.8,5.316666666666666,14.533333333333333,29.49,13.0,20.88,20.0,2.0,10.0,9.997,210.0,12.2,13.0,4.54,0.0,0.0,9.216666666666667,0,0,1,0,0,0,1,0,0,0
1.0,3.0,2013.0,22.67,8.0,4.36,3.0,22.67,8.0,10.71,22.0,0.83,19.03,0.75,0.71,0.0,0.0,0.0,1022.4,5.316666666666666,14.55,29.55,9.0,14.16,3.0,1.0,10.0,9.064,261.0,13.25,9.0,5.89,0.0,0.0,9.233333333333334,0,0,1,0,0,0,1,0,0,0
1.0,4.0,2013.0,29.0,13.0,17.13,5.0,29.0,13.0,4.36,3.0,0.0,16.85,0.72,0.75,0.0,0.0,0.0,1023.37,5.316666666666666,14.566666666666666,36.36,13.0,22.83,5.0,2.0,10.0,9.961,242.0,21.15,11.0,7.28,0.0,0.0,9.25,1,0,0,0,0,0,1,0,0,0
1.0,5.0,2013.0,31.72,10.0,18.17,6.0,31.72,10.0,17.13,5.0,0.55,25.91,0.82,0.78,0.0006,0.0034,0.55,1020.74,5.316666666666666,14.583333333333334,37.26,11.0,26.14,6.0,2.0,10.0,8.072,211.0,17.86,20.0,5.54,0.07,17.0,9.266666666666667,0,0,0,0,0,1,0,0,0,1
1.0,6.0,2013.0,27.24,17.0,13.6,4.0,30.54,1.0,17.16,8.0,0.63,23.41,0.79,0.82,0.0,0.0,0.0,1020.13,5.316666666666666,14.6,33.03,13.0,18.98,2.0,1.0,10.0,8.393,267.0,17.02,4.0,6.13,0.0,0.0,9.283333333333333,0,0,1,0,0,0,1,0,0,0
1.0,7.0,2013.0,33.2,12.0,23.69,0.0,33.2,12.0,13.6,4.0,0.22,21.42,0.75,0.86,0.0,0.0,0.0,1024.29,5.316666666666666,14.616666666666667,39.7,12.0,27.71,5.0,2.0,10.0,8.808,200.0,21.55,10.0,6.42,0.0,0.0,9.3,0,0,1,0,0,0,1,0,0,0
1.0,8.0,2013.0,38.53,12.0,30.15,6.0,38.53,12.0,23.69,0.0,0.47,26.88,0.74,0.9,0.0,0.0,0.0,1020.42,5.316666666666666,14.633333333333333,41.99,13.0,35.23,6.0,2.0,10.0,8.416,187.0,17.24,19.0,5.19,0.0,0.0,9.316666666666666,0,0,1,0,0,0,1,0,0,0
1.0,9.0,2013.0,44.64,11.0,25.46,3.0,44.64,11.0,29.7,22.0,0.28,26.53,0.61,0.93,0.0,0.0,0.0,1025.2,5.3,14.65,49.75,11.0,25.46,3.0,2.0,10.0,9.983,256.0,25.33,11.0,7.07,0.0,0.0,9.350000000000001,0,0,1,0,0,0,1,0,0,0
1.0,10.0,2013.0,39.85,12.0,33.2,17.0,39.85,12.0,25.46,3.0,0.61,27.81,0.75,0.97,0.0162,0.1872,1.0,1026.35,5.3,14.666666666666666,43.9,12.0,38.35,17.0,2.0,10.0,8.488,123.0,13.49,16.0,3.88,0.0,21.0,9.366666666666667,0,0,0,1,0,0,0,1,0,0
1.0,11.0,2013.0,52.9,5.0,51.29,5.0,52.9,5.0,39.16,22.0,0.83,47.51,0.92,0.01,0.0135,0.095,1.0,1008.02,5.3,14.683333333333334,52.9,5.0,51.29,5.0,1.0,10.0,6.982,190.0,18.34,19.0,7.34,0.0,1.0,9.383333333333333,0,0,0,1,0,0,0,1,0,0
1.0,12.0,2013.0,51.62,7.0,23.18,5.0,52.36,1.0,25.49,21.0,0.74,36.95,0.77,0.05,0.0006,0.0056,0.69,1011.71,5.283333333333333,14.7,51.62,7.0,27.48,6.0,2.0,10.0,9.633,240.0,17.69,23.0,6.8,0.0,22.0,9.416666666666666,0,0,0,1,0,0,0,1,0,0
1.0,13.0,2013.0,23.43,6.0,5.34,6.0,30.48,0.0,6.0,21.0,0.88,19.83,0.82,0.09,0.0006,0.0057,0.63,1017.32,5.283333333333333,14.716666666666667,28.24,5.0,12.33,5.0,2.0,10.0,8.425,292.0,14.95,18.0,4.6,0.0,23.0,9.433333333333334,0,0,0,1,0,0,0,1,0,0
1.0,14.0,2013.0,25.72,14.0,15.19,3.0,25.72,14.0,5.34,6.0,0.13,9.88,0.7,0.12,0.0,0.0,0.0,1030.03,5.283333333333333,14.733333333333333,25.72,14.0,15.19,3.0,2.0,10.0,9.997,282.0,9.85,22.0,2.1,0.0,0.0,9.45,0,0,1,0,0,0,1,0,0,0
1.0,15.0,2013.0,31.24,13.0,13.49,6.0,31.24,13.0,15.19,3.0,0.16,13.71,0.69,0.16,0.0001,0.0007,0.12,1027.52,5.266666666666667,14.766666666666667,31.24,13.0,19.03,1.0,2.0,10.0,9.984,230.0,4.47,12.0,0.69,0.01,10.0,9.5,0,0,1,0,0,0,0,0,0,1
1.0,16.0,2013.0,28.98,17.0,18.61,6.0,32.73,21.0,13.49,6.0,0.39,19.74,0.71,0.19,0.0,0.0,0.0,1015.94,5.266666666666667,14.783333333333333,35.73,12.0,24.9,6.0,2.0,10.0,9.791,232.0,21.12,12.0,5.43,0.0,0.0,9.516666666666666,0,0,1,0,0,0,1,0,0,0
1.0,17.0,2013.0,24.29,17.0,16.21,5.0,32.23,0.0,17.77,7.0,0.16,14.18,0.59,0.22,0.0,0.0,0.0,1026.0,5.25,14.8,30.03,11.0,19.89,1.0,2.0,10.0,9.978,313.0,14.56,12.0,4.34,0.0,0.0,9.55,0,0,1,0,0,0,1,0,0,0
1.0,18.0,2013.0,34.82,13.0,31.15,18.0,34.82,13.0,16.21,5.0,0.43,22.22,0.68,0.25,0.0002,0.0018,0.28,1023.1,5.25,14.816666666666666,42.0,13.0,37.83,3.0,2.0,10.0,9.997,201.0,25.58,13.0,7.71,0.0,13.0,9.566666666666666,0,0,1,0,0,0,0,1,0,0
1.0,19.0,2013.0,42.95,14.0,2.95,5.0,42.95,14.0,16.4,22.0,0.31,30.09,0.65,0.29,0.0,0.0,0.0,1011.17,5.233333333333333,14.833333333333334,47.54,14.0,13.67,6.0,2.0,10.0,9.998,234.0,30.53,21.0,9.51,0.0,0.0,9.600000000000001,0,0,1,0,0,0,1,0,0,0
1.0,20.0,2013.0,13.28,13.0,-2.09,6.0,16.4,22.0,2.95,5.0,0.45,3.97,0.53,0.32,0.0,0.0,0.0,1023.15,5.216666666666667,14.866666666666667,20.49,12.0,10.28,6.0,2.0,10.0,9.998,290.0,28.54,22.0,7.22,0.0,0.0,9.65,0,0,1,0,0,0,1,0,0,0
1.0,21.0,2013.0,0.25,5.0,-9.39,6.0,6.26,22.0,-7.88,21.0,0.5,-2.57,0.57,0.35,0.0,0.0,0.0,1023.07,5.216666666666667,14.883333333333333,11.27,13.0,-0.05,5.0,2.0,10.0,9.783,285.0,20.24,11.0,8.27,0.0,0.0,9.666666666666666,0,0,1,0,0,0,1,0,0,0
1.0,22.0,2013.0,1.67,17.0,0.8,18.0,2.96,22.0,-9.39,6.0,0.37,-5.38,0.58,0.38,0.0,0.0,0.0,1027.8,5.2,14.9,11.55,13.0,10.34,23.0,2.0,10.0,9.997,281.0,13.46,12.0,5.74,0.0,0.0,9.7,0,0,1,0,0,0,1,0,0,0
